name,brand,price (đ),link_item,link_img,ram (GB),rom (GB),rom_type,rate,quantity_sale,original price (đ),discount percent
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),Asus,12690000,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,https://cdn.tgdd.vn/Products/Images/44/311178/asus-vivobook-go-15-e1504fa-r5-nj776w-thumb-600x600.jpg,16,512,SSD ,4.9,14700.0,14490000,12
Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1),Dell,16490000,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1,https://cdn.tgdd.vn/Products/Images/44/325242/dell-inspiron-15-3520-i5-n5i5052w1-thumb-600x600.jpg,16,512,SSD ,5.0,7400.0,16990000,0
Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),HP,13690000,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327098/hp-15-fc0085au-r5-a6vv8pa-thumb-638624255401777068-600x600.jpg,16,512,SSD ,4.9,5400.0,15190000,9
Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002),Acer,10990000,https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,https://cdn.tgdd.vn/Products/Images/44/321436/acer-aspire-a315-44p-r9w8-r7-nxksjsv002-thumb-600x600.jpg,8,512,SSD ,4.9,3300.0,12990000,15
Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),Lenovo,14190000,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn,https://cdn.tgdd.vn/Products/Images/44/313333/lenovo-ideapad-slim-3-15iah8-i5-83er00evn-thumb-600x600.jpg,16,512,SSD ,4.9,7300.0,15990000,11
Laptop Apple MacBook Air 13 inch M1 8GB/256GB,MacBook,17790000,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/231244/macbook-air-m1-2020-gray-600x600.jpg,8,256,SSD ,4.9,11700.0,19990000,11
Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),Asus,9990000,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w,https://cdn.tgdd.vn/Products/Images/44/312414/asus-vivobook-15-x1504za-i3-nj102w-thumb-600x600.jpg,8,512,SSD ,4.9,8700.0,12290000,18
Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),HP,16690000,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,https://cdn.tgdd.vn/Products/Images/44/323920/hp-15-fd0234tu-i5-9q969pa-thumb-1-600x600.jpg,16,512,SSD ,4.9,4900.0,19790000,15
Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),Acer,13590000,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,https://cdn.tgdd.vn/Products/Images/44/326637/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001-100624-101857-600x600.jpg,16,512,SSD ,4.9,2400.0,14990000,9
Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),Lenovo,12690000,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,https://cdn.tgdd.vn/Products/Images/44/325500/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn-thumb-600x600.jpg,16,512,SSD ,4.9,3000.0,14390000,11
