name,brand,price (đ),link_item,link_img,resolution,size,rate,quantity_sale,original price (đ),discount percent
Điện thoại Samsung Galaxy S25 5G 12GB/256GB,Samsung,19990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-mint-thumb-600x600.jpg,Full HD+,6.2,0.0,0.0,22990000,13
Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,30990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-titan-sliver-thumb-600x600.jpg,Quad HD+ (2K+),6.9,0.0,0.0,33990000,8
Điện thoại iPhone 16 Pro Max 256GB,iPhone (Apple),32890000,https://www.thegioididong.com/dtdd/iphone-16-pro-max,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-sa-mac-thumb-600x600.jpg,Super Retina XDR,6.9,4.9,94500.0,34990000,6
Điện thoại iPhone 16 Pro 128GB,iPhone (Apple),27590000,https://www.thegioididong.com/dtdd/iphone-16-pro,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-tu-nhien.png,Super Retina XDR,6.3,4.9,10400.0,28990000,4
Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,Samsung,25990000,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-violet-thumbnew-600x600.jpg,Quad HD+ (2K+),6.8,4.9,24200.0,29990000,13
Điện thoại Samsung Galaxy A16 8GB/128GB,Samsung,5390000,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumbnew-600x600.jpg,Full HD+,6.7,4.9,43000.0,5890000,8
Điện thoại Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,5490000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/333147/xiaomi-redmi-note-14-purple-thumbnew-600x600.jpg,Full HD+,6.67,4.9,24100.0,0,0
Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7990000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro,https://cdn.tgdd.vn/Products/Images/42/320730/xiaomi-redmi-note-14-pro-black-thumbnew-600x600.jpg,Full HD+,6.67,4.9,7500.0,0,0
Điện thoại OPPO Reno13 F 5G 8GB/256GB,OPPO,9990000,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g,https://cdn.tgdd.vn/Products/Images/42/332936/oppo-reno13-f-blue-thumb-600x600.jpg,Full HD+,6.67,4.9,23900.0,0,0
Điện thoại OPPO Reno13 5G 12GB/256GB,OPPO,15990000,https://www.thegioididong.com/dtdd/oppo-reno13-5g,https://cdn.tgdd.vn/Products/Images/42/332934/oppo-reno13-5g-blue-thumb-600x600.jpg,1.5K,6.59,5.0,3300.0,0,0
